brandName,descriptionText,itemCondition,modelYear,manufacturer,fuelType,imageUrl,transmission,engineDisplacement,mileage,price,detailsUrl,adId
Toyota,Toyota Hilux 2017 for sale in Karachi,used,2017,Toyota,Diesel,https://cache3.pakwheels.com/ad_pictures/5810/toyota-hilux-4x4-single-cab-standard-2017-58101786.jpg,Manual,3000,125000,3600000,https://www.pakwheels.com/used-cars/toyota-hilux-2017-for-sale-in-karachi-5573114,5573114
Honda,Honda Fit 2014 for sale in Lahore,used,2014,Honda,Hybrid,https://cache3.pakwheels.com/ad_pictures/5984/honda-fit-s-package-2014-59845104.jpg,Automatic,1500,90000,2345000,https://www.pakwheels.com/used-cars/honda-fit-2014-for-sale-in-lahore-5704213,5704213
Suzuki,Suzuki Every 2010 for sale in Multan,used,2010,Suzuki,Petrol,https://cache3.pakwheels.com/ad_pictures/5977/suzuki-every-join-2-2010-59773329.jpg,Automatic,660,112000,1010000,https://www.pakwheels.com/used-cars/suzuki-every-2010-for-sale-in-multan-5684847,5684847
Toyota,Toyota Hilux 1992 for sale in Swabi,used,1992,Toyota,Diesel,https://cache3.pakwheels.com/ad_pictures/5985/toyota-hilux-double-cab-1992-59859955.jpg,Manual,2400,100000,1600000,https://www.pakwheels.com/used-cars/toyota-hilux-1992-for-sale-in-swabi-5705325,5705325
Toyota,Toyota Hilux 2016 for sale in Peshawar,used,2016,Toyota,Diesel,https://cache3.pakwheels.com/ad_pictures/5985/toyota-hilux-revo-g-automatic-2-8-2016-59858973.jpg,Automatic,2800,75112,7825000,https://www.pakwheels.com/used-cars/toyota-hilux-2016-for-sale-in-peshawar-5705324,5705324
Honda,Honda Civic 2018 for sale in Islamabad,used,2018,Honda,Petrol,https://cache2.pakwheels.com/ad_pictures/5927/honda-civic-oriel-1-8-i-vtec-cvt-2018-59277707.jpg,Automatic,1800,29000,3870000,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-islamabad-5662485,5662485
Toyota,Toyota Vitz 2017 for sale in Karachi,used,2017,Toyota,Petrol,https://cache2.pakwheels.com/ad_pictures/5986/toyota-vitz-1-0-f-2017-59860430.jpg,Automatic,1000,48000,2600000,https://www.pakwheels.com/used-cars/toyota-vitz-2017-for-sale-in-karachi-5705323,5705323
Toyota,Toyota Corolla 2014 for sale in Rahim Yar Khan,used,2014,Toyota,Petrol,https://cache4.pakwheels.com/ad_pictures/5986/toyota-corolla-gli-vvti-2014-59860542.jpg,Manual,1300,150000,2000000,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-rahim-yar-khan-5705319,5705319
Toyota,Toyota Prado 2013 for sale in Faisalabad,used,2013,Toyota,Petrol,https://cache2.pakwheels.com/ad_pictures/5985/toyota-prado-tx-4-2013-59859779.jpg,Automatic,2700,88000,15000000,https://www.pakwheels.com/used-cars/toyota-prado-2013-for-sale-in-faisalabad-5705321,5705321
Honda,Honda Civic 2016 for sale in Sialkot,used,2016,Honda,Petrol,https://cache1.pakwheels.com/ad_pictures/5986/honda-civic-turbo-1-5-vtec-cvt-2016-59860359.jpg,Automatic,1500,54700,3540000,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-sialkot-5705320,5705320
Toyota,Toyota Corolla 2012 for sale in Islamabad,used,2012,Toyota,Petrol,https://cache1.pakwheels.com/ad_pictures/5986/toyota-corolla-gli-vvti-2012-59860125.jpg,Manual,1300,139000,2150000,https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-islamabad-5705292,5705292
Toyota,Toyota Passo 2014 for sale in Islamabad,used,2014,Toyota,Petrol,https://cache1.pakwheels.com/ad_pictures/5986/toyota-passo-1-0-x-2014-59860573.jpg,Automatic,1000,106000,1900000,https://www.pakwheels.com/used-cars/toyota-passo-2014-for-sale-in-islamabad-5705318,5705318
Toyota,Toyota Corolla 2012 for sale in Karachi,used,2012,Toyota,Petrol,https://cache2.pakwheels.com/ad_pictures/5986/toyota-corolla-altis-1-6-sr-2012-59860462.jpg,Automatic,1600,80000,2500000,https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-karachi-5705317,5705317
